,car_name,company_name,year,price,kms_driven,fuel_type
1366,Renault Duster 4x4,Renault,2014,325000,34000,Diesel
1367,Honda City ZX,Honda,2005,200000,0,Petrol
1368,Tata Nexon XMA,Tata,2023,1050000,35150,Petrol
1369,Tata Nexon XMA,Tata,2023,1000000,35710,Petrol
1370,Toyota Innova Crysta,Toyota,2021,1450000,31000,Diesel
1371,Maruti Suzuki Alto,Maruti,2010,160000,84000,Petrol
1372,Honda City ZX,Honda,2006,145000,50000,Petrol
1373,Maruti Suzuki BREZZA,Maruti,2023,700000,50000,Petrol
1374,Ford EcoSport Titanium,Ford,2013,415000,83846,Diesel
1375,Hyundai Grand i10,Hyundai,2022,750000,8000,Petrol
1376,Toyota Etios V,Toyota,2012,189000,65000,Petrol
1377,Maruti Suzuki Ertiga,Maruti,2024,1050000,41010,CNG
1378,Mahindra XUV 700,Mahindra,2022,1950000,77000,Diesel
1379,Hyundai Creta N,Hyundai,2021,1250000,94500,Diesel
1380,Maruti Suzuki Wagon,Maruti,2008,130000,25000,Petrol
1381,Maruti Suzuki Swift,Maruti,2013,190000,0,Petrol
1382,Mahindra XUV500,Mahindra,2017,850000,71000,Diesel
1383,Renault Duster 85,Renault,2014,310000,90000,Diesel
1384,Maruti Suzuki S,Maruti,2022,420000,75000,Petrol
1385,Maruti Suzuki S,Maruti,2022,420000,75000,Petrol
1386,Hyundai XCENT PRIME,Hyundai,2019,215000,32000,CNG
1387,Volkswagen Polo COMFORTLINE,Volkswagen,2011,310000,3500,Petrol
1388,Skoda Octavia LK,Skoda,2019,1575000,42800,Petrol
1389,Tata ALTROZ XZ,Tata,2023,799000,17400,Petrol
1390,Hyundai NEW SANTRO,Hyundai,2018,375000,77600,Petrol
1391,Tata ALTROZ XZ,Tata,2023,799000,17400,Petrol
1392,Hyundai Grand i10,Hyundai,2016,260000,25000,CNG
1393,Maruti Suzuki Wagon,Maruti,2022,500000,95000,CNG
1394,Tata Indigo CS,Tata,2012,125000,4200,Diesel
1395,Maruti Suzuki Celerio,Maruti,2017,260000,66000,Petrol
1396,Maruti Suzuki Invicto,Maruti,2024,3550000,0,Hybrid
1397,Tata Indica Vista,Tata,2015,180000,80000,Diesel
1398,Ford EcoSport Titanium,Ford,2013,415000,83846,Diesel
1399,Hyundai Grand i10,Hyundai,2022,750000,8000,Petrol
1400,Toyota Etios V,Toyota,2012,189000,65000,Petrol
1401,Maruti Suzuki Ertiga,Maruti,2024,1050000,41010,CNG
1402,Mahindra XUV 700,Mahindra,2022,1950000,77000,Diesel
1403,Hyundai Creta N,Hyundai,2021,1250000,94500,Diesel
1404,Maruti Suzuki Wagon,Maruti,2008,130000,25000,Petrol
1405,Maruti Suzuki Swift,Maruti,2013,190000,0,Petrol
1406,Mahindra XUV500,Mahindra,2017,850000,71000,Diesel
1407,Renault Duster 85,Renault,2014,310000,90000,Diesel
1408,Maruti Suzuki S,Maruti,2022,420000,75000,Petrol
1409,Maruti Suzuki S,Maruti,2022,420000,75000,Petrol
1410,Hyundai XCENT PRIME,Hyundai,2019,215000,32000,CNG
1411,Volkswagen Polo COMFORTLINE,Volkswagen,2011,310000,3500,Petrol
1412,Skoda Octavia LK,Skoda,2019,1575000,42800,Petrol
1413,Tata ALTROZ XZ,Tata,2023,799000,17400,Petrol
1414,Hyundai NEW SANTRO,Hyundai,2018,375000,77600,Petrol
1415,Tata ALTROZ XZ,Tata,2023,799000,17400,Petrol
1416,Hyundai Grand i10,Hyundai,2016,260000,25000,CNG
1417,Maruti Suzuki Wagon,Maruti,2022,500000,95000,CNG
1418,Tata Indigo CS,Tata,2012,125000,4200,Diesel
1419,Maruti Suzuki Celerio,Maruti,2017,260000,66000,Petrol
1420,Maruti Suzuki Invicto,Maruti,2024,3550000,0,Hybrid
1421,Maruti Suzuki Baleno,Maruti,2017,600000,87000,Diesel
1422,Maruti Suzuki Alto,Maruti,2014,250000,15000,Petrol
1423,Maruti Suzuki Wagon,Maruti,2022,500000,95000,CNG
1424,Mahindra Thar CRDe,Mahindra,2019,650000,64900,Diesel
1425,Maruti Suzuki BREZZA,Maruti,2019,760000,40000,Diesel
1426,Honda City 1.5,Honda,2019,835000,56700,Petrol
1427,Hyundai XCENT PRIME,Hyundai,2021,300000,0,CNG
1428,Hyundai i10 Magna,Hyundai,2012,180000,84000,CNG
1429,Tata Indigo eCS,Tata,2015,198765,0,Hybrid
1430,Audi Q5 30,Audi,2011,800000,58000,Diesel
1431,Maruti Suzuki Swift,Maruti,2024,590000,32000,CNG
1432,Toyota Corolla H1,Toyota,2010,250000,20000,Petrol
1433,Toyota Corolla H1,Toyota,2010,250000,20000,Petrol
1434,Maruti Suzuki FRONX,Maruti,2024,880000,14000,Petrol
1435,Hyundai Grand i10,Hyundai,2018,430000,7396,Petrol
1436,Toyota Yaris J,Toyota,2020,550000,80000,Petrol
1437,Honda City 1.5,Honda,2018,549000,99999,Diesel
1438,Maruti Suzuki Vitara,Maruti,2017,475000,29000,Diesel
1439,Hyundai i20 Active,Hyundai,2017,550000,0,Diesel
1440,Maruti Suzuki Grand,Maruti,2024,1050000,700,Petrol
1441,Maruti Suzuki Vitara,Maruti,2019,900000,60000,Diesel
1442,Maruti Suzuki Ertiga,Maruti,2014,399000,25000,Diesel
1443,Tata Tigor Revotron,Tata,2019,450000,37000,Petrol
1444,Hyundai XCENT PRIME,Hyundai,2021,300000,0,CNG
1445,Hyundai i10 Magna,Hyundai,2012,180000,84000,CNG
1446,Tata Indigo eCS,Tata,2015,198765,0,Hybrid
1447,Audi Q5 30,Audi,2011,800000,58000,Diesel
1448,Maruti Suzuki Swift,Maruti,2024,590000,32000,CNG
1449,Toyota Corolla H1,Toyota,2010,250000,20000,Petrol
1450,Toyota Corolla H1,Toyota,2010,250000,20000,Petrol
1451,Maruti Suzuki FRONX,Maruti,2024,880000,14000,Petrol
1452,Hyundai Grand i10,Hyundai,2018,430000,7396,Petrol
1453,Toyota Yaris J,Toyota,2020,550000,80000,Petrol
1454,Honda City 1.5,Honda,2018,549000,99999,Diesel
1455,Maruti Suzuki Vitara,Maruti,2017,475000,29000,Diesel
1456,Hyundai i20 Active,Hyundai,2017,550000,0,Diesel
1457,Maruti Suzuki Grand,Maruti,2024,1050000,700,Petrol
1458,Maruti Suzuki Vitara,Maruti,2019,900000,60000,Diesel
1459,Maruti Suzuki Ertiga,Maruti,2014,399000,25000,Diesel
1460,Tata Tigor Revotron,Tata,2019,450000,37000,Petrol
1461,Maruti Suzuki Baleno,Maruti,2019,575000,84500,Petrol
1462,Maruti Suzuki Swift,Maruti,2018,525000,41000,Petrol
1463,Tata Winger Deluxe,Tata,2024,1800000,62000,Diesel
1464,Maruti Suzuki Swift,Maruti,2014,275000,90000,Petrol
1465,Maruti Suzuki XL6,Maruti,2021,900000,40000,Petrol
1466,Honda Amaze 1.5,Honda,2017,370000,84945,CNG
1467,Hyundai XCENT PRIME,Hyundai,2018,350000,15000,Diesel
1468,Toyota Innova 2.5,Toyota,2008,550000,53000,Diesel
1469,Tata Indica V2,Tata,2010,82000,61000,Diesel
1470,Maruti Suzuki Alto,Maruti,2023,350000,65000,Petrol
1471,Kia Sonet HTK,Kia,2024,850000,32000,Petrol
1472,Ford EcoSport Titanium,Ford,2020,830000,39500,Diesel
1473,Maruti Suzuki Vitara,Maruti,2019,900000,60000,Diesel
1474,Honda City V,Honda,2008,145000,80000,Hybrid
1475,Maruti Suzuki Alto,Maruti,2021,320000,40000,Petrol
1476,Maruti Suzuki Celerio,Maruti,2014,260000,75000,Petrol
1477,Maruti Suzuki CELERIO,Maruti,2014,260000,75000,Petrol
1478,Maruti Suzuki Celerio,Maruti,2020,425000,68300,CNG
1479,Maruti Suzuki Celerio,Maruti,2020,425000,68000,CNG
1480,Hyundai Verna 1.4,Hyundai,2013,350000,30000,Diesel
1481,Skoda Rapid STYLE,Skoda,2021,580000,85998,Petrol
1482,Ford Figo Aspire,Ford,2016,300000,85500,Diesel
1483,Maruti Suzuki Swift,Maruti,2016,430000,62000,Diesel
1484,Mahindra Xylo E8,Mahindra,2010,195000,5000,Diesel
1485,Maruti Suzuki XL6,Maruti,2021,900000,40000,Petrol
1486,Toyota Innova 2.5,Toyota,2008,550000,53000,Diesel
1487,Tata Indica V2,Tata,2010,82000,61000,Diesel
1488,Maruti Suzuki Alto,Maruti,2023,350000,65000,Petrol
1489,Kia Sonet HTK,Kia,2024,850000,32000,Petrol
1490,Ford EcoSport Titanium,Ford,2020,830000,39500,Diesel
1491,Maruti Suzuki Vitara,Maruti,2019,900000,60000,Diesel
1492,Honda City V,Honda,2008,145000,80000,Hybrid
1493,Maruti Suzuki Alto,Maruti,2021,320000,40000,Petrol
1494,Maruti Suzuki Celerio,Maruti,2014,260000,75000,Petrol
1495,Maruti Suzuki CELERIO,Maruti,2014,260000,75000,Petrol
1496,Maruti Suzuki Celerio,Maruti,2020,425000,68300,CNG
1497,Maruti Suzuki Celerio,Maruti,2020,425000,68000,CNG
1498,Hyundai Verna 1.4,Hyundai,2013,350000,30000,Diesel
1499,Skoda Rapid STYLE,Skoda,2021,580000,85998,Petrol
1500,Ford Figo Aspire,Ford,2016,300000,85500,Diesel
1501,Maruti Suzuki Swift,Maruti,2016,430000,62000,Diesel
1502,Mahindra Xylo E8,Mahindra,2010,195000,5000,Diesel
1503,Maruti Suzuki Ignis,Maruti,2021,395000,49100,Petrol
1504,Mahindra Bolero XL,Mahindra,2013,450000,75000,Diesel
1505,Hyundai Creta 1.6,Hyundai,2017,799000,77632,Petrol
1506,Tata Nano GenX,Tata,2015,150000,30000,Petrol
1507,Toyota Innova Crysta,Toyota,2018,2500000,45000,Diesel
1508,Tata Nano Twist,Tata,2015,150000,30000,Petrol
1509,Maruti Suzuki Swift,Maruti,2010,275000,10000,Diesel
1510,Kia Sonet HTK,Kia,2021,700000,55000,Petrol
1511,Hyundai i20 Active,Hyundai,2017,425000,59000,Petrol
1512,Maruti Suzuki Alto,Maruti,2015,250000,41411,Petrol
1513,Mahindra Bolero SLX,Mahindra,2011,360000,10000,Diesel
1514,Tata Nexon XZ,Tata,2017,430000,76000,Diesel
1515,Toyota Innova Crysta,Toyota,2018,2500000,45000,Diesel
1516,Kia Seltos HTE,Kia,2023,1290000,29000,Diesel
1517,Tata Nexon XZA,Tata,2022,900000,12600,Petrol
1518,Hyundai Grand i10,Hyundai,2018,350000,65000,CNG
1519,Maruti Suzuki Vitara,Maruti,2017,510000,5700,Diesel
1520,Chevrolet Cruze LTZ,Chevrolet,2011,380000,38665,Diesel
1521,Maruti Suzuki Zen,Maruti,2007,140000,22000,Petrol
1522,Maruti Suzuki Swift,Maruti,2020,3,200,Diesel
1523,Maruti Suzuki Swift,Maruti,2024,685000,18000,CNG
1524,Renault Captur Renault,Renault,2019,550000,75000,Diesel
1525,Maruti Suzuki Alto,Maruti,2018,285000,35000,Petrol
1526,Ford Figo ZXI,Ford,2010,189999,68030,Petrol
1527,Hyundai i20 Active,Hyundai,2017,425000,59000,Petrol
1528,Maruti Suzuki Alto,Maruti,2015,250000,41411,Petrol
1529,Mahindra Bolero SLX,Mahindra,2011,360000,10000,Diesel
1530,Tata Nexon XZ,Tata,2017,430000,76000,Diesel
1531,Toyota Innova Crysta,Toyota,2018,2500000,45000,Diesel
1532,Kia Seltos HTE,Kia,2023,1290000,29000,Diesel
1533,Tata Nexon XZA,Tata,2022,900000,12600,Petrol
1534,Hyundai Grand i10,Hyundai,2018,350000,65000,CNG
1535,Maruti Suzuki Vitara,Maruti,2017,510000,5700,Diesel
1536,Chevrolet Cruze LTZ,Chevrolet,2011,380000,38665,Diesel
1537,Maruti Suzuki Zen,Maruti,2007,140000,22000,Petrol
1538,Maruti Suzuki Swift,Maruti,2020,3,200,Diesel
1539,Maruti Suzuki Swift,Maruti,2024,685000,18000,CNG
1540,Renault Captur Renault,Renault,2019,550000,75000,Diesel
1541,Maruti Suzuki Alto,Maruti,2018,285000,35000,Petrol
1542,Ford Figo ZXI,Ford,2010,189999,68030,Petrol
1543,Maruti Suzuki Alto,Maruti,2000,60000,60000,Petrol
1544,Maruti Suzuki BREZZA,Maruti,2024,800000,26000,Petrol
1545,Tata Nano Cx,Tata,2010,55000,37000,Petrol
1546,Nissan MAGNITE XV,Nissan,2021,410000,63000,Petrol
1547,Maruti Suzuki Wagon,Maruti,2010,165000,80000,Petrol
1548,Volkswagen Jetta 2.0L,Volkswagen,2013,510000,69000,Diesel
1549,Skoda Superb Elegance,Skoda,2012,180000,50000,Petrol
1550,Ford Figo Aspire,Ford,2015,250000,0,Petrol
1551,Mahindra Thar LX,Mahindra,2023,1500000,20000,Petrol
1552,Honda Brio 1.2,Honda,2018,300000,48000,Petrol
1553,Renault Duster 85,Renault,2013,350000,26000,Diesel
1554,Hyundai Verna 1.6,Hyundai,2013,170000,49000,Petrol
1555,Maruti Suzuki Alto,Maruti,2011,190000,71000,Petrol
1556,Toyota Etios Liva,Toyota,2013,445000,52000,Diesel
1557,Maruti Suzuki Alto,Maruti,2010,125000,60000,Petrol
1558,Mercedes Benz M,Mercedes,2014,1475000,44000,Diesel
1559,Skoda Rapid 1.6,Skoda,2014,350000,67000,Petrol
1560,Maruti Suzuki Alto,Maruti,2017,255000,62500,Petrol
1561,Maruti Suzuki Eeco,Maruti,2012,99800,50000,CNG
1562,Maruti Suzuki New,Maruti,2021,385000,66700,CNG
1563,Maruti Suzuki Gypsy,Maruti,2019,480000,45000,Petrol
1564,Hyundai Creta SX,Hyundai,2022,1300000,40000,Petrol
1565,Maruti Suzuki Wagon,Maruti,2016,315000,51000,Petrol
1566,Skoda Superb Elegance,Skoda,2012,180000,50000,Petrol
1567,Ford Figo Aspire,Ford,2015,250000,0,Petrol
1568,Mahindra Thar LX,Mahindra,2023,1500000,20000,Petrol
1569,Honda Brio 1.2,Honda,2018,300000,48000,Petrol
1570,Renault Duster 85,Renault,2013,350000,26000,Diesel
1571,Hyundai Verna 1.6,Hyundai,2013,170000,49000,Petrol
1572,Maruti Suzuki Alto,Maruti,2011,190000,71000,Petrol
1573,Toyota Etios Liva,Toyota,2013,445000,52000,Diesel
1574,Maruti Suzuki Alto,Maruti,2010,125000,60000,Petrol
1575,Mercedes Benz M,Mercedes,2014,1475000,44000,Diesel
1576,Skoda Rapid 1.6,Skoda,2014,350000,67000,Petrol
1577,Maruti Suzuki Alto,Maruti,2017,255000,62500,Petrol
1578,Maruti Suzuki Eeco,Maruti,2012,99800,50000,CNG
1579,Maruti Suzuki New,Maruti,2021,385000,66700,CNG
1580,Maruti Suzuki Gypsy,Maruti,2019,480000,45000,Petrol
1581,Hyundai Creta SX,Hyundai,2022,1300000,40000,Petrol
1582,Maruti Suzuki Wagon,Maruti,2016,315000,51000,Petrol
1583,Hyundai i20 Asta,Hyundai,2011,220000,46000,Diesel
1584,Mercedes Benz GLA,Mercedes,2016,1021000,48000,Diesel
1585,Renault Kwid 1.0,Renault,2022,400000,9000,Petrol
1586,Tata Tiago XE,Tata,2019,350000,82000,Petrol
1587,Maruti Suzuki Wagon,Maruti,2015,280000,60000,Petrol
1588,Maruti Suzuki Wagon,Maruti,2015,280000,60000,Petrol
1589,Ford Fiesta 1.6,Ford,2011,130000,70000,Petrol
1590,Toyota Urban Cruiser,Toyota,2023,1400000,41000,Petrol
1591,Tata Safari Storme,Tata,2015,600000,0,Diesel
1592,Hyundai Elite i20,Hyundai,2015,371000,62000,Petrol
1593,BMW X3 XDRIVE,BMW,2011,1200000,74100,Diesel
1594,Maruti Suzuki Ertiga,Maruti,2017,750000,98413,Diesel
1595,Mercedes Benz GLA,Mercedes,2016,1021000,48000,Diesel
1596,Hyundai Verna Fluidic,Hyundai,2011,350000,44500,Diesel
1597,Hyundai Verna Fluidic,Hyundai,2011,350000,44500,Diesel
1598,Hyundai Verna Fluidic,Hyundai,2011,350000,44500,Diesel
1599,Maruti Suzuki Swift,Maruti,2020,580000,99000,Diesel
1600,Maruti Suzuki Swift,Maruti,2014,330000,63000,Petrol
1601,Ford EcoSport Titanium,Ford,2015,325000,0,Petrol
1602,BMW 5 Series,BMW,2011,650000,40000,Diesel
1603,MG Motors Astor,MG,2021,1500000,32000,Petrol
1604,Hyundai Sonata Embera,Hyundai,2006,199999,80000,Petrol
1605,Mercedes Benz CLA,Mercedes,2019,1800000,65000,Diesel
1606,Maruti Suzuki BREZZA,Maruti,2020,875000,57000,Diesel
1607,Maruti Suzuki Wagon,Maruti,2015,280000,60000,Petrol
1608,Ford Fiesta 1.6,Ford,2011,130000,70000,Petrol
1609,Toyota Urban Cruiser,Toyota,2023,1400000,41000,Petrol
1610,Tata Safari Storme,Tata,2015,600000,0,Diesel
1611,Hyundai Elite i20,Hyundai,2015,371000,62000,Petrol
1612,BMW X3 XDRIVE,BMW,2011,1200000,74100,Diesel
1613,Maruti Suzuki Ertiga,Maruti,2017,750000,98413,Diesel
1614,Mercedes Benz GLA,Mercedes,2016,1021000,48000,Diesel
1615,Hyundai Verna Fluidic,Hyundai,2011,350000,44500,Diesel
1616,Hyundai Verna Fluidic,Hyundai,2011,350000,44500,Diesel
1617,Hyundai Verna Fluidic,Hyundai,2011,350000,44500,Diesel
1618,Maruti Suzuki Swift,Maruti,2020,580000,99000,Diesel
1619,Maruti Suzuki Swift,Maruti,2014,330000,63000,Petrol
1620,Ford EcoSport Titanium,Ford,2015,325000,0,Petrol
1621,BMW 5 Series,BMW,2011,650000,40000,Diesel
1622,MG Motors Astor,MG,2021,1500000,32000,Petrol
1623,Hyundai Sonata Embera,Hyundai,2006,199999,80000,Petrol
1624,Mercedes Benz CLA,Mercedes,2019,1800000,65000,Diesel
1625,Maruti Suzuki BREZZA,Maruti,2020,875000,57000,Diesel
1626,Maruti Suzuki Ertiga,Maruti,2024,1020000,90000,CNG
1627,Audi A6 2.0,Audi,2012,865000,23000,Diesel
1628,Hyundai Elite i20,Hyundai,2019,510000,35000,Petrol
1629,Hyundai Grand i10,Hyundai,2017,350000,1900,Petrol
1630,Honda Amaze 1.2,Honda,2019,494999,65000,Diesel
1631,Ford Figo Trend,Ford,2015,345000,15000,Diesel
1632,Maruti Suzuki Ertiga,Maruti,2024,1020000,90000,CNG
1633,Hyundai Xcent Base,Hyundai,2017,270000,0,CNG
1634,Mahindra Bolero SLX,Mahindra,2011,365000,60000,Diesel
1635,Toyota Corolla Altis,Toyota,2014,500000,74711,Petrol
1636,Mahindra Marazzo M2,Mahindra,2024,1300000,19000,Diesel
1637,BMW 3 Series,BMW,2013,1050000,30000,Diesel
1638,Mahindra XUV500,Mahindra,2015,435000,74000,Diesel
1639,Renault Duster 110,Renault,2016,375000,85000,Diesel
1640,Honda Civic 1.8V,Honda,2008,450000,18000,Petrol
1641,Chevrolet Sail 1.2,Chevrolet,2013,300000,10000,Petrol
1642,Ford Figo ZXI,Ford,2011,115000,98000,Diesel
1643,Maruti Suzuki Alto,Maruti,2013,200000,63000,Petrol
1644,Honda Amaze 1.2,Honda,2015,250000,42000,Petrol
1645,Hyundai Elite i20,Hyundai,2018,450000,122,Petrol
1646,Toyota Innova Crysta,Toyota,2022,2750000,27000,Diesel
1647,Maruti Suzuki Wagon,Maruti,2014,210000,38400,Petrol
1648,Mahindra Scorpio,Mahindra,2007,170000,62000,Diesel
