,car_name,company_name,year,price,kms_driven,fuel_type
1062,Maruti Suzuki Omni,Maruti,2016,315000,33000,Petrol
1063,Maruti Suzuki Swift,Maruti,2023,725000,47000,CNG
1064,Maruti Suzuki Swift,Maruti,2023,725000,47000,CNG
1065,Renault Kwid RXT,Renault,2016,365000,28500,Petrol
1066,Ford Figo ZXI,Ford,2013,260000,98000,Diesel
1067,Maruti Suzuki Dzire,Maruti,2017,419000,70000,Diesel
1068,Hyundai Eon Magna,Hyundai,2014,240000,68000,Petrol
1069,Maruti Suzuki Ertiga,Maruti,2014,400000,25000,Petrol
1070,Mahindra KUV100 K4,Mahindra,2017,240000,38000,Diesel
1071,Honda Civic 1.8,Honda,2009,110000,0,CNG
1072,Tata Sumo Gold,Tata,2013,245000,52000,Diesel
1073,Tata Tigor Revotron,Tata,2023,700000,22000,CNG
1074,Maruti Suzuki Estilo,Maruti,2009,110000,85860,Petrol
1075,Hyundai i20 Sportz,Hyundai,2016,340000,43000,Petrol
1076,Hyundai i20 Sportz,Hyundai,2016,340000,43000,Petrol
1077,Skoda Slavia,Skoda,2023,1900000,23125,Petrol
1078,Kia Seltos GTX,Kia,2021,1500000,35000,Petrol
1079,Ford Figo ZXI,Ford,2013,260000,98000,Diesel
1080,Ford EcoSport Titanium,Ford,2018,599996,73654,Diesel
1081,Mahindra KUV 100,Mahindra,2018,329999,54000,Petrol
1082,Ford EcoSport Titanium,Ford,2018,599996,73654,Diesel
1083,Maruti Suzuki Omni,Maruti,2016,315000,33000,Petrol
1084,Maruti Suzuki Omni,Maruti,2016,315000,33000,Petrol
1085,Maruti Suzuki Swift,Maruti,2023,725000,47000,CNG
1086,Maruti Suzuki Swift,Maruti,2023,725000,47000,CNG
1087,Maruti Suzuki Omni,Maruti,2016,315000,33000,Petrol
1088,Mahindra KUV 100,Mahindra,2018,329999,54000,Petrol
1089,Hyundai i10 Magna,Hyundai,2011,81000,56000,Petrol
1090,Honda City 1.5,Honda,2016,530000,75000,CNG
1091,Renault Kiger RXZ,Renault,2021,650000,45400,Petrol
1092,Maruti Suzuki Wagon,Maruti,2023,475000,35000,CNG
1093,Honda Amaze 1.2,Honda,2018,505000,23000,Petrol
1094,Toyota Innova 2.5,Toyota,2015,850000,62356,Diesel
1095,Volkswagen Vento Comfortline,Volkswagen,2018,625000,18000,Diesel
1096,Maruti Suzuki Swift,Maruti,2024,930000,7790,Petrol
1097,Audi A4 30,Audi,2023,3965000,23000,Petrol
1098,Maruti Suzuki Swift,Maruti,2011,130000,50000,CNG
1099,Honda Amaze 1.2,Honda,2024,925000,15030,Petrol
1100,Ford EcoSport Titanium,Ford,2018,599999,71000,Diesel
1101,Maruti Suzuki Ritz,Maruti,2011,190000,59000,Diesel
1102,Toyota Innova Crysta,Toyota,2019,1674996,60000,Diesel
1103,Toyota Innova Crysta,Toyota,2019,1674996,60000,Diesel
1104,Maruti Suzuki Ertiga,Maruti,2014,600000,80000,CNG
1105,Maruti Suzuki FRONX,Maruti,2024,690000,50000,Petrol
1106,Mahindra Scorpio VLX,Mahindra,2014,599999,12600,Diesel
1107,Mahindra Bolero LX,Mahindra,2009,310000,28248,Diesel
1108,Renault Kwid RXT,Renault,2016,365000,28500,Petrol
1109,Maruti Suzuki Omni,Maruti,2016,315000,33000,Petrol
1110,Mahindra KUV 100,Mahindra,2018,329999,54000,Petrol
1111,Hyundai i10 Magna,Hyundai,2011,81000,56000,Petrol
1112,Honda City 1.5,Honda,2016,530000,75000,CNG
1113,Renault Kiger RXZ,Renault,2021,650000,45400,Petrol
1114,Maruti Suzuki Wagon,Maruti,2023,475000,35000,CNG
1115,Honda Amaze 1.2,Honda,2018,505000,23000,Petrol
1116,Toyota Innova 2.5,Toyota,2015,850000,62356,Diesel
1117,Volkswagen Vento Comfortline,Volkswagen,2018,625000,18000,Diesel
1118,Maruti Suzuki Swift,Maruti,2024,930000,7790,Petrol
1119,Audi A4 30,Audi,2023,3965000,23000,Petrol
1120,Maruti Suzuki Swift,Maruti,2011,130000,50000,CNG
1121,Honda Amaze 1.2,Honda,2024,925000,15030,Petrol
1122,Ford EcoSport Titanium,Ford,2018,599999,71000,Diesel
1123,Maruti Suzuki Ritz,Maruti,2011,190000,59000,Diesel
1124,Toyota Innova Crysta,Toyota,2019,1674996,60000,Diesel
1125,Toyota Innova Crysta,Toyota,2019,1674996,60000,Diesel
1126,Maruti Suzuki Ertiga,Maruti,2014,600000,80000,CNG
1127,Maruti Suzuki FRONX,Maruti,2024,690000,50000,Petrol
1128,Mahindra Scorpio VLX,Mahindra,2014,599999,12600,Diesel
1129,Mahindra Bolero LX,Mahindra,2009,310000,28248,Diesel
1130,Hyundai Creta 1.6,Hyundai,2024,1200000,11000,Petrol
1131,Hyundai i20 Active,Hyundai,2017,490000,37300,Petrol
1132,Datsun GO T,Datsun,2016,200000,67750,Petrol
1133,Renault Kwid,Renault,2019,280000,23000,Petrol
1134,Maruti Suzuki A,Maruti,2012,250000,63500,Petrol
1135,Toyota Fortuner 4x2,Toyota,2017,2000000,30000,Diesel
1136,Maruti Suzuki Alto,Maruti,2012,165000,98000,CNG
1137,Kia Carens,Kia,2023,1050000,80000,Petrol
1138,Maruti Suzuki Alto,Maruti,2014,2250000,0,Petrol
1139,Maruti Suzuki Swift,Maruti,2023,672000,40000,Petrol
1140,Maruti Suzuki Ertiga,Maruti,2021,850000,8000,CNG
1141,Datsun RediGo S,Datsun,2018,183000,86000,Petrol
1142,Maruti Suzuki Vitara,Maruti,2024,1000000,0,Petrol
1143,Maruti Suzuki Maruti,Maruti,2013,115000,60000,Petrol
1144,Maruti Suzuki Wagon,Maruti,2011,135000,70000,CNG
1145,Hyundai i20 Asta,Hyundai,2012,510000,71000,Diesel
